Path,Label,k-fold,Label_enc
Pinto Beans/Image_420.jpg,Pinto Beans,0.0,6
Red Lentils/Image_102.jpg,Red Lentils,0.0,8
Pinto Beans/Image_672.jpg,Pinto Beans,0.0,6
Pinto Beans/Image_180.jpg,Pinto Beans,0.0,6
Green Chickpeas/Image_140.jpg,Green Chickpeas,0.0,4
Split & Skinned Black Gram/Image_994.jpg,Split & Skinned Black Gram,0.0,9
Pinto Beans/Image_441.jpg,Pinto Beans,0.0,6
Yellow Lentils/Image_870.jpg,Yellow Lentils,0.0,13
Pinto Beans/Image_965.jpg,Pinto Beans,0.0,6
Yellow Lentils/Image_106.jpg,Yellow Lentils,0.0,13
Green Chickpeas/Image_568.jpg,Green Chickpeas,0.0,4
White Kidney Beans/Image_179.jpg,White Kidney Beans,0.0,12
Chickpeas/Image_514.jpg,Chickpeas,0.0,2
Chickpeas/Image_7.jpg,Chickpeas,0.0,2
Split & Skinned Black Gram/Image_842fga (185).jpg,Split & Skinned Black Gram,0.0,9
Red Lentils/Image_678.jpg,Red Lentils,0.0,8
Split & Skinned Black Gram/Image_623.jpg,Split & Skinned Black Gram,0.0,9
Split & Skinned Black Gram/Image_842fga (243).jpg,Split & Skinned Black Gram,0.0,9
Split & Skinned Black Gram/Image_9.jpg,Split & Skinned Black Gram,0.0,9
Dew Bean/Image_449.jpg,Dew Bean,0.0,3
Dew Bean/Image_894.jpg,Dew Bean,0.0,3
Pinto Beans/Image_566.jpg,Pinto Beans,0.0,6
Red Lentils/Image_76.jpg,Red Lentils,0.0,8
Black Gram/Image_680.jpg,Black Gram,0.0,1
White Kidney Beans/Image_886.jpg,White Kidney Beans,0.0,12
Split & Skinned Black Gram/Image_789_ad (13).jpg,Split & Skinned Black Gram,0.0,9
Split Black Gram/Image_427.jpg,Split Black Gram,0.0,10
Split Green Gram/Image_750.jpg,Split Green Gram,0.0,11
Split Black Gram/Image_567.jpg,Split Black Gram,0.0,10
Red Lentils/Image_117.jpg,Red Lentils,0.0,8
Green Gram/Image_119.jpg,Green Gram,0.0,5
Green Gram/Image_677.jpg,Green Gram,0.0,5
Chickpeas/Image_840.jpg,Chickpeas,0.0,2
Yellow Lentils/Image_588.jpg,Yellow Lentils,0.0,13
Adzuki Beans/Image_166.jpg,Adzuki Beans,0.0,0
Red Lentils/Image_638.jpg,Red Lentils,0.0,8
Dew Bean/Image_247.jpg,Dew Bean,0.0,3
Adzuki Beans/Image_327.jpg,Adzuki Beans,0.0,0
Green Chickpeas/Image_917.jpg,Green Chickpeas,0.0,4
Split & Skinned Black Gram/Image_842fga (219).jpg,Split & Skinned Black Gram,0.0,9
Yellow Lentils/Image_834.jpg,Yellow Lentils,0.0,13
Green Gram/Image_442.jpg,Green Gram,0.0,5
Chickpeas/Image_326.jpg,Chickpeas,0.0,2
Black Gram/Image_403.jpg,Black Gram,0.0,1
Green Gram/Image_29.jpg,Green Gram,0.0,5
Black Gram/Image_644.jpg,Black Gram,0.0,1
Split & Skinned Black Gram/Image_842fga (190).jpg,Split & Skinned Black Gram,0.0,9
Green Gram/Image_304.jpg,Green Gram,0.0,5
Yellow Lentils/Image_54.jpg,Yellow Lentils,0.0,13
Green Gram/Image_849.jpg,Green Gram,0.0,5
Adzuki Beans/Image_974.jpg,Adzuki Beans,0.0,0
Red Kidney Beans/Image_74.jpg,Red Kidney Beans,0.0,7
Red Lentils/Image_980.jpg,Red Lentils,0.0,8
Pinto Beans/Image_427.jpg,Pinto Beans,0.0,6
Red Lentils/Image_230.jpg,Red Lentils,0.0,8
Red Lentils/Image_209.jpg,Red Lentils,0.0,8
Dew Bean/Image_214.jpg,Dew Bean,0.0,3
Yellow Lentils/Image_396.jpg,Yellow Lentils,0.0,13
Green Gram/Image_723.jpg,Green Gram,0.0,5
Yellow Lentils/Image_62.jpg,Yellow Lentils,0.0,13
Yellow Lentils/Image_412.jpg,Yellow Lentils,0.0,13
Split Black Gram/Image_135_fa (8).jpg,Split Black Gram,0.0,10
Green Chickpeas/Image_878.jpg,Green Chickpeas,0.0,4
Chickpeas/Image_328.jpg,Chickpeas,0.0,2
Split Black Gram/Image_135_fa (49).jpg,Split Black Gram,0.0,10
Yellow Lentils/Image_864.jpg,Yellow Lentils,0.0,13
White Kidney Beans/Image_442.jpg,White Kidney Beans,0.0,12
Red Kidney Beans/Image_78.jpg,Red Kidney Beans,0.0,7
Split & Skinned Black Gram/Image_99.jpg,Split & Skinned Black Gram,0.0,9
Red Lentils/Image_805.jpg,Red Lentils,0.0,8
Pinto Beans/Image_67.jpg,Pinto Beans,0.0,6
Chickpeas/Image_822.jpg,Chickpeas,0.0,2
Adzuki Beans/Image_183.jpg,Adzuki Beans,0.0,0
Adzuki Beans/Image_841.jpg,Adzuki Beans,0.0,0
Green Chickpeas/Image_696.jpg,Green Chickpeas,0.0,4
Split & Skinned Black Gram/Image_842fga (94).jpg,Split & Skinned Black Gram,0.0,9
Green Chickpeas/Image_315.jpg,Green Chickpeas,0.0,4
White Kidney Beans/Image_23.jpg,White Kidney Beans,0.0,12
Split & Skinned Black Gram/Image_842fga (48).jpg,Split & Skinned Black Gram,0.0,9
Pinto Beans/Image_557.jpg,Pinto Beans,0.0,6
Pinto Beans/Image_115.jpg,Pinto Beans,0.0,6
Split & Skinned Black Gram/Image_108.jpg,Split & Skinned Black Gram,0.0,9
Green Gram/Image_158.jpg,Green Gram,0.0,5
Yellow Lentils/Image_530.jpg,Yellow Lentils,0.0,13
Yellow Lentils/Image_817.jpg,Yellow Lentils,0.0,13
Pinto Beans/Image_776.jpg,Pinto Beans,0.0,6
Chickpeas/Image_40.jpg,Chickpeas,0.0,2
Dew Bean/Image_993.jpg,Dew Bean,0.0,3
Red Lentils/Image_562.jpg,Red Lentils,0.0,8
Green Gram/Image_306.jpg,Green Gram,0.0,5
Pinto Beans/Image_656.jpg,Pinto Beans,0.0,6
Green Chickpeas/Image_220.jpg,Green Chickpeas,0.0,4
Chickpeas/Image_953.jpg,Chickpeas,0.0,2
Green Gram/Image_924.jpg,Green Gram,0.0,5
Dew Bean/Image_141.jpg,Dew Bean,0.0,3
Split Green Gram/Image_325.jpg,Split Green Gram,0.0,11
Split Black Gram/Image_529_gg (28).jpg,Split Black Gram,0.0,10
Green Chickpeas/Image_719.jpg,Green Chickpeas,0.0,4
Yellow Lentils/Image_711.jpg,Yellow Lentils,0.0,13
Split Black Gram/Image_113.jpg,Split Black Gram,0.0,10
Chickpeas/Image_699.jpg,Chickpeas,0.0,2
Split Black Gram/Image_529_gg (40).jpg,Split Black Gram,0.0,10
Pinto Beans/Image_623.jpg,Pinto Beans,0.0,6
Chickpeas/Image_708.jpg,Chickpeas,0.0,2
Pinto Beans/Image_290.jpg,Pinto Beans,0.0,6
Green Chickpeas/Image_137.jpg,Green Chickpeas,0.0,4
Split Green Gram/Image_670.jpg,Split Green Gram,0.0,11
Red Kidney Beans/Image_285.jpg,Red Kidney Beans,0.0,7
Pinto Beans/Image_212.jpg,Pinto Beans,0.0,6
Split Black Gram/Image_529_gg (63).jpg,Split Black Gram,0.0,10
Chickpeas/Image_84.jpg,Chickpeas,0.0,2
Pinto Beans/Image_956.jpg,Pinto Beans,0.0,6
Adzuki Beans/Image_632.jpg,Adzuki Beans,0.0,0
Chickpeas/Image_755.jpg,Chickpeas,0.0,2
Adzuki Beans/Image_617.jpg,Adzuki Beans,0.0,0
Chickpeas/Image_964.jpg,Chickpeas,0.0,2
Split Black Gram/Image_520.jpg,Split Black Gram,0.0,10
Split & Skinned Black Gram/Image_842fga (80).jpg,Split & Skinned Black Gram,0.0,9
Green Chickpeas/Image_991.jpg,Green Chickpeas,0.0,4
Split & Skinned Black Gram/Image_842fga (35).jpg,Split & Skinned Black Gram,0.0,9
Green Chickpeas/Image_336.jpg,Green Chickpeas,0.0,4
Dew Bean/Image_171.jpg,Dew Bean,0.0,3
Dew Bean/Image_307.jpg,Dew Bean,0.0,3
Green Chickpeas/Image_295.jpg,Green Chickpeas,0.0,4
Pinto Beans/Image_675.jpg,Pinto Beans,0.0,6
Black Gram/Image_152.jpg,Black Gram,0.0,1
Split & Skinned Black Gram/Image_639.jpg,Split & Skinned Black Gram,0.0,9
Red Lentils/Image_260.jpg,Red Lentils,0.0,8
Dew Bean/Image_130.jpg,Dew Bean,0.0,3
Chickpeas/Image_96.jpg,Chickpeas,0.0,2
Green Gram/Image_711.jpg,Green Gram,0.0,5
Black Gram/Image_218.jpg,Black Gram,0.0,1
Split & Skinned Black Gram/Image_842fga (111).jpg,Split & Skinned Black Gram,0.0,9
Pinto Beans/Image_377.jpg,Pinto Beans,0.0,6
Pinto Beans/Image_737.jpg,Pinto Beans,0.0,6
Red Lentils/Image_948.jpg,Red Lentils,0.0,8
Adzuki Beans/Image_396.jpg,Adzuki Beans,0.0,0
Red Kidney Beans/Image_618.jpg,Red Kidney Beans,0.0,7
Yellow Lentils/Image_495.jpg,Yellow Lentils,0.0,13
Red Lentils/Image_939.jpg,Red Lentils,0.0,8
Red Lentils/Image_161.jpg,Red Lentils,0.0,8
White Kidney Beans/Image_613.jpg,White Kidney Beans,0.0,12
White Kidney Beans/Image_140.jpg,White Kidney Beans,0.0,12
White Kidney Beans/Image_457.jpg,White Kidney Beans,0.0,12
White Kidney Beans/Image_648.jpg,White Kidney Beans,0.0,12
Chickpeas/Image_867.jpg,Chickpeas,0.0,2
Pinto Beans/Image_610.jpg,Pinto Beans,0.0,6
Green Chickpeas/Image_372.jpg,Green Chickpeas,0.0,4
Yellow Lentils/Image_122.jpg,Yellow Lentils,0.0,13
Split Black Gram/Image_529_gg (20).jpg,Split Black Gram,0.0,10
Pinto Beans/Image_158.jpg,Pinto Beans,0.0,6
Split & Skinned Black Gram/Image_842fga (44).jpg,Split & Skinned Black Gram,0.0,9
Dew Bean/Image_32.jpg,Dew Bean,0.0,3
White Kidney Beans/Image_379.jpg,White Kidney Beans,0.0,12
Pinto Beans/Image_923.jpg,Pinto Beans,0.0,6
Dew Bean/Image_6.jpg,Dew Bean,0.0,3
White Kidney Beans/Image_60.jpg,White Kidney Beans,0.0,12
Red Lentils/Image_601.jpg,Red Lentils,0.0,8
Pinto Beans/Image_716.jpg,Pinto Beans,0.0,6
Dew Bean/Image_544.jpg,Dew Bean,0.0,3
Green Chickpeas/Image_448.jpg,Green Chickpeas,0.0,4
Red Lentils/Image_820.jpg,Red Lentils,0.0,8
Green Gram/Image_864.jpg,Green Gram,0.0,5
Green Gram/Image_349.jpg,Green Gram,0.0,5
Black Gram/Image_488.jpg,Black Gram,0.0,1
Black Gram/Image_640.jpg,Black Gram,0.0,1
Red Kidney Beans/Image_108.jpg,Red Kidney Beans,0.0,7
Green Gram/Image_33.jpg,Green Gram,0.0,5
Pinto Beans/Image_443.jpg,Pinto Beans,0.0,6
Split Black Gram/Image_135_fa (70).jpg,Split Black Gram,0.0,10
Adzuki Beans/Image_339.jpg,Adzuki Beans,0.0,0
Black Gram/Image_615.jpg,Black Gram,0.0,1
Yellow Lentils/Image_152.jpg,Yellow Lentils,0.0,13
Split & Skinned Black Gram/Image_842fga (116).jpg,Split & Skinned Black Gram,0.0,9
Chickpeas/Image_934.jpg,Chickpeas,0.0,2
Pinto Beans/Image_344.jpg,Pinto Beans,0.0,6
Green Gram/Image_758.jpg,Green Gram,0.0,5
Yellow Lentils/Image_649.jpg,Yellow Lentils,0.0,13
Yellow Lentils/Image_449.jpg,Yellow Lentils,0.0,13
Split & Skinned Black Gram/Image_842fga (27).jpg,Split & Skinned Black Gram,0.0,9
Chickpeas/Image_421.jpg,Chickpeas,0.0,2
Adzuki Beans/Image_510.jpg,Adzuki Beans,0.0,0
Pinto Beans/Image_210.jpg,Pinto Beans,0.0,6
Dew Bean/Image_437.jpg,Dew Bean,0.0,3
Green Chickpeas/Image_97.jpg,Green Chickpeas,0.0,4
White Kidney Beans/Image_941.jpg,White Kidney Beans,0.0,12
Pinto Beans/Image_728.jpg,Pinto Beans,0.0,6
Green Chickpeas/Image_116.jpg,Green Chickpeas,0.0,4
Adzuki Beans/Image_471.jpg,Adzuki Beans,0.0,0
White Kidney Beans/Image_282.jpg,White Kidney Beans,0.0,12
Adzuki Beans/Image_557.jpg,Adzuki Beans,0.0,0
Dew Bean/Image_489.jpg,Dew Bean,0.0,3
Yellow Lentils/Image_482.jpg,Yellow Lentils,0.0,13
Red Lentils/Image_368.jpg,Red Lentils,0.0,8
Chickpeas/Image_258.jpg,Chickpeas,0.0,2
Dew Bean/Image_149.jpg,Dew Bean,0.0,3
Chickpeas/Image_871.jpg,Chickpeas,0.0,2
Red Lentils/Image_373.jpg,Red Lentils,0.0,8
Red Lentils/Image_265.jpg,Red Lentils,0.0,8
Red Lentils/Image_473.jpg,Red Lentils,0.0,8
Black Gram/Image_141.jpg,Black Gram,0.0,1
Yellow Lentils/Image_432.jpg,Yellow Lentils,0.0,13
Red Lentils/Image_1000.jpg,Red Lentils,0.0,8
Adzuki Beans/Image_569.jpg,Adzuki Beans,0.0,0
White Kidney Beans/Image_320.jpg,White Kidney Beans,0.0,12
Split Green Gram/Image_902.jpg,Split Green Gram,0.0,11
Red Kidney Beans/Image_479.jpg,Red Kidney Beans,0.0,7
Chickpeas/Image_719.jpg,Chickpeas,0.0,2
Red Kidney Beans/Image_582.jpg,Red Kidney Beans,0.0,7
White Kidney Beans/Image_476.jpg,White Kidney Beans,0.0,12
Red Kidney Beans/Image_837.jpg,Red Kidney Beans,0.0,7
Split & Skinned Black Gram/Image_895.jpg,Split & Skinned Black Gram,0.0,9
Adzuki Beans/Image_112.jpg,Adzuki Beans,0.0,0
Green Gram/Image_343.jpg,Green Gram,0.0,5
Split Black Gram/Image_135_fa (137).jpg,Split Black Gram,0.0,10
Green Chickpeas/Image_453.jpg,Green Chickpeas,0.0,4
Chickpeas/Image_834.jpg,Chickpeas,0.0,2
Black Gram/Image_365.jpg,Black Gram,0.0,1
Red Kidney Beans/Image_415.jpg,Red Kidney Beans,0.0,7
Adzuki Beans/Image_743.jpg,Adzuki Beans,0.0,0
Chickpeas/Image_877.jpg,Chickpeas,0.0,2
Split & Skinned Black Gram/Image_842fga (97).jpg,Split & Skinned Black Gram,0.0,9
Yellow Lentils/Image_559.jpg,Yellow Lentils,0.0,13
Red Kidney Beans/Image_99.jpg,Red Kidney Beans,0.0,7
Green Gram/Image_384.jpg,Green Gram,0.0,5
Pinto Beans/Image_732.jpg,Pinto Beans,0.0,6
Black Gram/Image_231.jpg,Black Gram,0.0,1
White Kidney Beans/Image_905.jpg,White Kidney Beans,0.0,12
Red Kidney Beans/Image_155.jpg,Red Kidney Beans,0.0,7
Split Black Gram/Image_311.jpg,Split Black Gram,0.0,10
White Kidney Beans/Image_754.jpg,White Kidney Beans,0.0,12
Adzuki Beans/Image_584.jpg,Adzuki Beans,0.0,0
Yellow Lentils/Image_101.jpg,Yellow Lentils,0.0,13
Pinto Beans/Image_21.jpg,Pinto Beans,0.0,6
Black Gram/Image_585.jpg,Black Gram,0.0,1
Yellow Lentils/Image_501.jpg,Yellow Lentils,0.0,13
Chickpeas/Image_291.jpg,Chickpeas,0.0,2
Adzuki Beans/Image_125.jpg,Adzuki Beans,0.0,0
Black Gram/Image_207_f (75).jpg,Black Gram,0.0,1
Yellow Lentils/Image_127.jpg,Yellow Lentils,0.0,13
Pinto Beans/Image_669.jpg,Pinto Beans,0.0,6
Chickpeas/Image_613.jpg,Chickpeas,0.0,2
